x,y,z,mach
-183.07164,-73.963487,116.35468,4.404
-186.60445,-69.60274,126.02958,4.79456
-187.61446,-66.318976,127.75365,3.88798
-186.17744,-67.135209,126.94421,4.13337
-188.31648,-65.235976,123.98549,3.28822
-186.36866,-66.709208,120.25076,3.35541
-185.97954,-66.474979,120.29311,3.38819
-184.09591,-66.308947,120.57614,3.7246
-182.87017,-65.254251,117.36158,4.60305
-183.9096,-65.222827,118.55745,3.57287
-184.83849,-65.333367,116.35112,3.13785
-184.82512,-61.991101,116.02084,4.32482
-184.21091,-61.596523,118.47589,4.26589
-182.33084,-63.865484,117.89555,3.89961
-183.01414,-61.772585,116.88777,5.0
-185.65194,-59.890624,117.65486,3.20979
-187.07781,-58.963962,117.63035,3.19748
-189.12903,-59.466405,118.34975,3.21054
-189.11477,-59.679127,117.71726,3.29938
-190.94581,-62.040465,116.52852,4.50506
-187.66527,-63.148425,117.34642,4.32262
-185.57081,-62.08292,118.56102,3.48172
-186.71187,-58.704773,125.55266,5.0
-190.50855,-58.232309,123.67348,5.0
-191.20789,-60.607238,124.09335,5.0
-188.20193,-63.250162,125.44836,5.0
-185.50752,-64.322798,126.14592,5.0
-185.75713,-62.632276,127.41445,4.13846
-188.14844,-58.735528,128.65223,5.0
-188.23179,-61.204509,126.33089,5.0
-188.50279,-61.336443,127.39885,5.0
-186.78898,-58.885403,126.27741,5.0
-185.20978,-59.329679,128.74627,5.0
-183.96665,-59.552207,129.27847,5.0
-184.64237,-61.871758,128.19937,4.91939
-184.79614,-64.202007,125.58519,5.0
-189.2213,-64.826021,110.56428,4.31193
-188.19301,-64.21003,112.28745,3.69564
-185.72325,-62.88333,115.19535,3.53511
-185.72191,-63.273896,115.33888,3.65915
-184.60894,-63.422323,112.10247,3.97334
-183.34665,-66.616051,111.04521,4.71667
-183.78613,-67.498252,110.80764,4.4918
-184.47344,-66.646137,109.86805,4.81018
-188.38779,-65.223607,111.00822,5.0
-185.93586,-68.686776,105.78076,3.9036
-186.75912,-69.263544,107.69604,4.16518
-185.55165,-67.265583,106.50684,4.00145
