x1,y1,z1,M1,x2,y2,z2,M2
-64.314998,-61.967478,66.002957,1.61417,-1.393883,353.8587,-34.304023,2.37178
-64.665337,-62.179531,65.274197,1.79302,-13.185053,361.62926,-46.930757,4.503
-64.616308,-62.152565,65.093679,1.76541,-169.42694,294.96674,255.50269,1.82407
-64.211144,-60.688917,62.13897,1.74799,-44.366797,-36.752819,-47.398058,1.84594
-66.392074,-61.14623,60.676102,1.78749,-33.450614,-41.59878,-43.953398,2.07218
-66.276632,-61.383467,60.709531,1.92357,-33.67513,-41.410441,-44.249067,2.38138
-66.609142,-61.356946,60.4626,1.83019,362.29875,196.5378,45.287573,2.51746
40.104466,-26.027701,94.766904,3.95634,368.82173,190.53104,44.897675,3.24854
26.881598,-8.4477655,-72.309849,1.8559,364.96602,194.99371,43.408755,2.20448
-50.572413,6.9054422,-86.774504,2.02081,386.96713,187.41931,67.614642,5.0
-52.487692,6.9278398,-86.333237,2.8257,377.12209,159.47682,46.865915,2.82327
-39.683806,11.68673,-89.734561,4.79229,343.62643,209.67282,-5.9299306,5.0
-51.224508,6.1930628,-88.210183,2.49368,334.17081,188.42735,8.6929277,3.2618
-51.654187,6.2839906,-87.058876,1.91974,338.6467,189.11688,4.0252087,3.025
-52.435988,5.9144849,-88.384461,2.26312,344.10431,190.32984,4.9588486,3.09089
-49.652883,5.8898586,-87.290207,2.04543,342.94519,186.59889,3.7420401,2.90721
-50.534526,6.4464572,-87.573688,1.69166,341.13993,181.20882,2.7055172,2.8434
-48.318829,4.9938407,-89.678846,2.18876,338.25488,181.70221,7.8506322,3.45045
-47.726016,5.2904704,-89.860701,2.22069,335.11502,181.59151,9.1607092,3.88178
-48.099533,5.4072503,-89.040122,2.17863,344.11825,199.21048,2.5146547,4.77699
-47.04272,5.5509965,-90.494076,2.31116,346.45043,188.13072,6.3804619,3.18206
-46.507404,14.024555,-87.491675,2.19721,344.54517,180.26353,3.1915676,1.67562
-46.930397,13.61226,-86.840917,1.82144,350.28306,168.42452,5.4838407,3.35641
-51.926524,17.189201,-79.917031,5.0,348.36386,167.75818,4.3405886,2.85843
-51.154529,16.062186,-82.570875,1.56265,351.01575,163.2258,6.654977,3.77729
-50.964205,16.045472,-82.964896,1.63556,347.66339,159.20831,7.5732325,3.63353
-49.892683,17.611079,-84.038646,3.2889,345.93505,151.08019,2.2685045,2.52348
-50.110196,17.96855,-83.448953,1.974,350.14701,153.12667,7.5265986,2.62105
-47.446546,15.678417,-84.782115,2.64003,343.01538,170.28747,4.1030922,3.13411
-46.633544,18.128343,-84.341293,2.14686,318.18883,158.78608,-19.504728,2.97743
-45.998387,17.267314,-84.406815,1.59304,321.27581,159.38992,-19.882126,3.70875
-46.399985,16.308338,-85.488143,4.36419,323.9748,153.81452,-10.804857,3.38894
-46.98433,17.550015,-82.988519,4.35548,321.99791,155.17304,-13.180783,2.87175
