#id,x,y,z,mvir,Name,SGX,SGY,SGZ
78,466.37384,73.54042,353.4894,5.0966974e14,,,,
79,472.34772,390.00537,325.91302,6.452903e14,,,,
80,490.07117,155.5119,203.13297,4.82044e14,,,,
81,211.63881,171.48938,130.99887,3.5629874e14,,,,
82,462.4608,414.75143,346.91855,5.4573495e14,,,,
83,447.44882,6.2448072,455.35492,4.9162427e14,,,,
84,325.4688,299.59357,63.030933,6.728456e14,,,,
85,147.1525,201.58951,177.84402,4.9030125e14,,,,
86,88.468094,355.66586,281.903,6.7143814e14,,,,
87,321.54895,128.1838,230.35876,6.631006e14,,,,
88,225.16087,256.67755,242.03177,6.59414e14,,,,
89,377.15012,140.19702,98.36857,2.4530046e14,,,,
90,144.53171,37.963192,171.12375,5.818207e14,,,,
91,325.7906,196.08888,339.22144,3.1671143e14,,,,
92,149.29056,198.2682,187.07315,5.8532385e14,,,,
93,72.02861,325.56192,324.44437,6.7583666e14,,,,
94,416.23068,142.21718,127.1496,5.1555985e14,,,,
95,103.76285,407.44418,14.294878,4.7764942e14,,,,
96,302.09454,397.83682,262.2221,6.244712e14,,,,
97,488.68665,2.3196406,197.51062,6.331673e14,,,,
98,337.23273,3.3802564,1.4314674,5.670359e14,,,,
99,138.95639,421.56595,413.72137,3.874905e14,,,,
100,321.1695,420.86517,417.4675,6.192652e14,,,,
101,350.40146,210.07512,62.57024,4.6186867e14,,,,
102,197.41496,261.71802,466.32394,6.216664e14,,,,
103,419.31982,202.02202,434.2367,5.4747022e14,,,,
104,35.76201,74.96758,224.86638,5.9797716e14,,,,
105,66.320244,272.1609,477.07364,3.4257105e14,,,,
106,26.035736,252.3051,70.093124,5.4553004e14,,,,
107,329.6193,125.17226,211.3933,4.1987312e14,,,,
108,281.59302,410.78198,423.77454,5.709943e14,,,,
109,18.54425,46.969196,95.29718,6.0049777e14,,,,
110,244.51228,46.890617,395.13715,5.7877047e14,,,,
111,355.70007,182.60439,407.54166,5.6133286e14,,,,
112,129.68907,41.980637,158.03369,5.4655093e14,,,,
113,237.65004,15.776297,397.31558,6.08323e14,,,,
114,37.84829,94.50072,368.7755,6.166743e14,,,,
115,298.83762,102.362656,281.18964,6.0012484e14,,,,
116,110.292854,311.3728,232.29327,4.816611e14,,,,
